tag,seq_len,horizon,num_layers,hidden_size,signal_threshold,num_folds,test_rmse,test_mae,test_r2,dm_stat_vs_persistence,dm_p_value_vs_persistence,num_trades,net_pnl,sharpe_annualized,sortino_annualized,hit_rate,turnover,max_drawdown,long_trades,short_trades,signal_realized_corr,edge_sign_accuracy
seq84_h12_l2_h128,84,12,2,128,0.0015,3,0.0476715676486492,0.0336486473679542,0.3618859042073055,-30.138108649691663,0.0,6590,28.990110870235068,57.58640795008473,195.06489268438455,0.5132018209408195,0.6229911136320666,-0.0403844822240824,3482,3108,0.7276432106388478,0.8024279210925644
seq84_h12_l3_h128,84,12,3,128,0.0015,3,0.047147549688816,0.0337966457009315,0.3758373875729647,-31.48887765403416,0.0,6302,28.979472397490987,58.193869340851315,220.84424651792995,0.549190733100603,0.5957647948572509,-0.0357043043113165,4001,2301,0.7317989201665468,0.8076801015550619
seq168_h12_l2_h256,168,12,2,256,0.0015,3,0.0480486750602722,0.033772125840187,0.3573814254641568,-30.29490196620072,0.0,6167,28.864969414524232,56.90390368072896,195.60483453437016,0.5106210475109454,0.583002457931556,-0.0384662641663453,3273,2894,0.7315732772362713,0.8148208204961894
seq168_h12_l2_h128,168,12,2,128,0.0015,3,0.0478667207062244,0.0337006896734237,0.3622392415634952,-30.47982197459944,0.0,6398,28.856483458280668,57.02677953064307,201.56964292019867,0.5192247577367928,0.6048402344488562,-0.0332822650380091,3588,2810,0.7286116114473257,0.8015004688965301
seq48_h12_l3_h256,48,12,3,256,0.0015,3,0.0468685962259769,0.0326851904392242,0.3808035412956566,-31.79934960713417,0.0,6085,28.839325462908597,59.09812525701884,222.97279303711844,0.5313064913722267,0.5752505199470599,-0.0313681955670936,3590,2495,0.7319537318703624,0.8213640098603122
seq168_h12_l3_h128,168,12,3,128,0.0015,3,0.0480567142367363,0.0339809879660606,0.3571663255660282,-29.911140570851384,0.0,6811,28.78416422301136,56.266788108668926,192.8892342146276,0.5194538246953457,0.6438835318585744,-0.0352725770299429,4044,2767,0.7219319870702112,0.7791807370430186
seq12_h12_l3_h256,12,12,3,256,0.0015,3,0.0470537506043911,0.0331061147153377,0.3754375791013965,-31.25642801301187,0.0,6275,28.74452928658397,58.93444677251282,212.6449633532861,0.531792828685259,0.5932123274721119,-0.0340767643260662,3654,2621,0.7293943790443693,0.8143426294820717
seq48_h12_l3_h128,48,12,3,128,0.0015,3,0.0477082580327987,0.0345227047801017,0.3584186920148328,-30.14642469077243,0.0,6703,28.717750653413912,57.76181063510709,206.4885890570388,0.5349843353722213,0.6336736623180186,-0.0423219595961583,4176,2527,0.7229786290841292,0.7845740713113531
seq48_h12_l2_h128,48,12,2,128,0.0015,3,0.047256201505661,0.0330871492624282,0.3705196639705138,-30.628140393612338,0.0,6264,28.62906019540688,58.45272469246152,207.28708785435555,0.5158045977011494,0.5921724333522405,-0.0352725770299429,3480,2784,0.7302959523754825,0.8114623243933589
seq168_h24_l3_h128,168,24,3,128,0.0015,3,0.048373769968748,0.0345283895730972,0.3491880908839356,-29.67867927438052,0.0,6609,28.625385421702177,56.02105731692685,176.11622217640684,0.5097594189741262,0.6247872943845717,-0.0755463793808175,3514,3095,0.7259527504367471,0.7967922529883492
seq12_h12_l3_h128,12,12,3,128,0.0015,3,0.0471231192350387,0.0328951589763164,0.3735947185670262,-31.38621262024911,0.0,6381,28.48983435538437,58.3747822588762,197.86079975446023,0.5107349945149663,0.6032331253545093,-0.0352725770299429,3405,2976,0.7295870261867018,0.8097476884500862
seq84_h24_l3_h256,84,24,3,256,0.0015,3,0.0476255230605602,0.0339287668466568,0.3632674973013435,-31.076169449164823,0.0,6355,28.456337578572683,57.1133384353021,198.38462715339384,0.5123524783634933,0.6007751937984496,-0.0547559640832897,3508,2847,0.7286557008042635,0.8051927616050354
seq48_h12_l2_h256,48,12,2,256,0.0015,3,0.0472544208168983,0.033938493579626,0.3705671214960285,-30.87107842983005,0.0,6290,28.412267666668868,57.64567328233552,206.42910248803165,0.5422893481717012,0.5946303649083002,-0.0352725770299429,3846,2444,0.7257195199430426,0.8020667726550079
seq12_h12_l2_h128,12,12,2,128,0.0015,3,0.0472943447530269,0.0338138304650783,0.3690342462106318,-30.753592054257822,0.0,6030,28.36261494591158,58.240119758934725,209.2592127392173,0.53681592039801,0.5700510493477028,-0.0352725770299429,3576,2454,0.7271128995980427,0.8207296849087894
seq84_h12_l3_h256,84,12,3,256,0.0015,3,0.0478070303797721,0.0337812863290309,0.3582542158691657,-29.86925889948677,0.0,6337,28.31805845475783,56.9368018170303,204.2798759641298,0.5142812056178002,0.5990735488750236,-0.0478341845741496,3365,2972,0.7236138126943034,0.7992741044658356
seq84_h24_l3_h128,84,24,3,128,0.0015,3,0.0480704344809055,0.0347860679030418,0.3513154286785319,-30.13485856107307,0.0,6648,28.21136138675653,55.993614790855254,181.88856795174948,0.51985559566787,0.6284741917186614,-0.0732490188721364,3952,2696,0.7247788717385304,0.7891095066185319
seq48_h24_l3_h128,48,24,3,128,0.0015,3,0.0482279509305954,0.0353580005466938,0.3450429681842321,-30.132770814478977,0.0,6427,28.126575260858203,56.86507643825198,195.97806556343565,0.5285514236813443,0.6075817734921535,-0.0473625405456701,3878,2549,0.7236000617668324,0.7929049323167886
seq168_h24_l2_h256,168,24,2,256,0.0015,3,0.0483660660684108,0.0342892631888389,0.3493953924378319,-30.019107997388073,0.0,6379,28.12225374154013,55.029433412379746,171.17416598348808,0.5198306944662173,0.603044053696351,-0.0795126133977213,3564,2815,0.7205557297372404,0.8002821758896379
seq168_h24_l2_h128,168,24,2,128,0.0015,3,0.0483701452612876,0.0341651812195777,0.3492856951267571,-30.08703109996024,0.0,6338,28.059286037670372,55.131162856554106,172.36137893838773,0.5003155569580309,0.5991680847041029,-0.0711288599736974,3164,3174,0.7248664227354006,0.8032502366677186
seq168_h1_l2_h128,168,1,2,128,0.0015,3,0.0468682236969471,0.0323449783027172,0.3876833826328747,-28.938689243258597,0.0,6356,28.046461553890857,55.65899699661549,203.8887339019849,0.5267463813719321,0.6008697296275288,-0.0334636206388516,3776,2580,0.7271128120812406,0.7995594713656388
seq84_h24_l2_h128,84,24,2,128,0.0015,3,0.0477862954139709,0.0342823043465614,0.3589613325635558,-30.823866498275084,0.0,6086,27.89175038682101,55.96153810138683,185.027430768032,0.5290831416365429,0.5753450557761391,-0.0688314994650163,3585,2501,0.7297421930128377,0.8108774235951364
seq168_h1_l2_h256,168,1,2,256,0.0015,3,0.0467556118965148,0.0322866216301918,0.3906223414637845,-29.229582321448888,0.0,6156,27.88668320447487,55.728209871070234,221.77319490285848,0.5326510721247564,0.5819625638116847,-0.0320746975959735,3749,2407,0.7277467647965856,0.8031189083820662
seq84_h24_l2_h256,84,24,2,256,0.0015,3,0.0480101928114891,0.0345406346023082,0.3529402338719848,-30.482494771056636,0.0,6479,27.880868043541337,55.38375414704671,183.65216323699764,0.5365025466893039,0.612497636604273,-0.072599256646594,4102,2377,0.7233311138134152,0.7870041673097701
seq12_h12_l2_h256,12,12,2,256,0.0015,3,0.0472278147935867,0.0330443792045116,0.3708082218250214,-31.03254888365331,0.0,6024,27.87044217021323,57.251047663090816,200.8196360564378,0.524402390438247,0.5694838343732275,-0.0352725770299429,3337,2687,0.7256848981415095,0.8150730411686588
seq168_h1_l3_h256,168,1,3,256,0.0015,3,0.0467194058001041,0.0318932272493839,0.391565728694401,-29.643011633278046,0.0,6098,27.84193279672629,55.713531939093464,208.3264546125008,0.5147589373565103,0.5764794857250898,-0.0320746975959735,3458,2640,0.7295832208420138,0.811577566415218
seq168_h24_l3_h256,168,24,3,256,0.0015,3,0.0486692637205123,0.0345649793744087,0.3412128556536985,-29.289244122094495,0.0,6447,27.830716430479175,54.46133595707485,172.09764066227186,0.5174499767333643,0.6094724900737379,-0.0757470494498555,3508,2939,0.7215940701434457,0.7896696137738483
seq12_h24_l3_h128,12,24,3,128,0.0015,3,0.0476735793054103,0.0331669859588146,0.3592171322504636,-30.844791249142705,0.0,6425,27.777055823553248,56.13439659578102,171.42099662864985,0.4893385214007782,0.6073927018339951,-0.068636934595613,3099,3326,0.7248838030371035,0.8052918287937744
seq168_h1_l3_h128,168,1,3,128,0.0015,3,0.0466915518045425,0.0318431295454502,0.3922910046594356,-29.803906092282972,0.0,6178,27.76344149663626,55.68491664475555,207.86139664522548,0.4902881191324053,0.5840423520514275,-0.0320746975959735,3052,3126,0.7309453923263161,0.8068954354159922
seq84_h1_l2_h128,84,1,2,128,0.0015,3,0.0461137630045414,0.0315323397517204,0.4023219804199718,-29.56225849354987,0.0,6120,27.75233110718464,56.36921733630377,207.9473423862831,0.5071895424836601,0.5785592739648326,-0.0320746975959735,3339,2781,0.7328004695411,0.8119281045751634
seq48_h24_l3_h256,48,24,3,256,0.0015,3,0.0474622882902622,0.0334553495049476,0.3656739403718957,-31.35076896220899,0.0,6293,27.747804948569247,55.832392032156406,177.28802138533047,0.5194660734149055,0.5949139723955379,-0.0757470494498555,3550,2743,0.723696248407505,0.8027967583028762
seq48_h24_l2_h256,48,24,2,256,0.0015,3,0.0480713546276092,0.033767107874155,0.3492893027047302,-30.15156245828892,0.0,6286,27.69450723574003,56.013452910378035,177.2251527898263,0.4898186446070633,0.5942522215919833,-0.0732490188721364,3104,3182,0.7260960339828767,0.8063951638561884
seq48_h24_l2_h128,48,24,2,128,0.0015,3,0.0473383516073226,0.033293467015028,0.3689824348513939,-31.4791585865109,0.0,6266,27.65657096606809,55.860571360964734,176.93113543888225,0.5164379189275455,0.592361505010399,-0.0688314994650163,3432,2834,0.7267122348127436,0.8033833386530482
