section,group,horizon,common_rows,atm_column,lstm_model,baseline_model,dm_stat_overall_mse,dm_p_value_overall_mse,dm_stat_atm_mse,dm_p_value_atm_mse,model,family,region,num_columns,rmse,mae,r2,regime,regime_threshold_atm_iv,forecast_rmse,forecast_mae,forecast_r2,num_rows,num_trades,net_pnl,gross_pnl,hit_rate,turnover,sharpe_annualized,max_drawdown,long_trades,short_trades,signal_realized_corr,profit_factor,scenario,scenario_description,threshold,holding_period_bars,round_trip_cost_bps,net_pnl_compression_pct_vs_base,study,condition,test_rmse,test_mae,test_r2,variant,shape_projection_enabled,smoothness_penalty,pred_adjacent_abs_diff,pred_second_diff_abs,pred_second_diff_rms,multi_kink_fraction,avg_slope_sign_changes
regime_analysis,h1,,,,,,,,,,seq84_h1_l2_h256,lstm,,,,,,low_atm_iv,0.152946845,0.0462390986982168,0.0307589852547335,0.2949319188017778,5289.0,2951.0,1.3143992234344166,2.568574223434358,0.5991189427312775,0.1394876158063906,23.595398979540608,-0.0076025237600716,2391.0,560.0,0.4532872547416798,3.1123517583097193,,,,,,,,,,,,,,,,,,,
regime_analysis,h12,,,,,,,,,,mlp_seq48_h12,baseline,,,,,,high_atm_iv,0.1527162249999999,0.0479622886494074,0.0350740694593066,0.3886249344904131,5229.0,2139.0,3.012375994767368,3.921450994767347,0.7554932211313699,0.1022662076878944,31.71157353056175,-0.0096181443948397,616.0,1523.0,0.7855546637482993,6.91100329388249,,,,,,,,,,,,,,,,,,,
regime_analysis,h12,,,,,,,,,,seq48_h12_l3_h256,lstm,,,,,,high_atm_iv,0.1527162249999999,0.0467811997084393,0.0335451260967407,0.4183648615804194,5229.0,1904.0,3.0866389193852384,3.8958389193852225,0.8019957983193278,0.0910307898259705,33.062057983328906,-0.0096101308132658,458.0,1446.0,0.7893002349178113,9.15473063128087,,,,,,,,,,,,,,,,,,,
regime_analysis,h12,,,,,,,,,,mlp_seq48_h12,baseline,,,,,,low_atm_iv,0.1527162249999999,0.0491200132439993,0.0346819281750129,0.2139766658303454,5229.0,1920.0,1.0692624894557603,1.8852624894557304,0.6739583333333333,0.0917957544463568,22.4836186445615,-0.0088528403776724,1726.0,194.0,0.4231626417089076,3.956311785991284,,,,,,,,,,,,,,,,,,,
regime_analysis,h12,,,,,,,,,,seq48_h12_l3_h256,lstm,,,,,,low_atm_iv,0.1527162249999999,0.0472663919006076,0.0320947758870857,0.2721809956286999,5229.0,1872.0,1.1342788170194709,1.9298788170194412,0.6901709401709402,0.0895008605851979,23.80652149657982,-0.0086322489586576,1736.0,136.0,0.4387104052638769,4.569038711679588,,,,,,,,,,,,,,,,,,,
regime_analysis,h24,,,,,,,,,,mlp_seq84_h24,baseline,,,,,,high_atm_iv,0.152698815,0.0485082452138121,0.0353368176292303,0.3817334106658423,5247.0,1390.0,2.25552703005545,2.8462770300554388,0.797841726618705,0.066228320945302,26.759580570342173,-0.0139489958763439,328.0,1062.0,0.7833934360576412,8.270033130389022,,,,,,,,,,,,,,,,,,,
regime_analysis,h24,,,,,,,,,,seq84_h24_l3_h256,lstm,,,,,,high_atm_iv,0.152698815,0.0480045293218913,0.0348679292360804,0.3945070633411254,5247.0,1296.0,2.2753122557728274,2.826112255772818,0.8294753086419753,0.0617495711835334,27.443859817667175,-0.0085782819582447,231.0,1065.0,0.7866063119849201,9.77646149269723,,,,,,,,,,,,,,,,,,,
regime_analysis,h24,,,,,,,,,,mlp_seq84_h24,baseline,,,,,,low_atm_iv,0.152698815,0.0487260567881195,0.0343840732987557,0.2153724230972977,5247.0,1186.0,0.7872722190450401,1.291322219045023,0.7242833052276559,0.0565084810367829,21.18666712585742,-0.0139489958763439,1084.0,102.0,0.4264810023747171,5.618824722679234,,,,,,,,,,,,,,,,,,,
regime_analysis,h24,,,,,,,,,,seq84_h24_l3_h256,lstm,,,,,,low_atm_iv,0.152698815,0.0474231380752354,0.0331130124932614,0.2567727725947093,5247.0,1145.0,0.7962207371006446,1.2828457371006277,0.7318777292576419,0.0545549838002668,21.528346094457305,-0.0083572673105163,1077.0,68.0,0.4311284022990613,6.298262817972601,,,,,,,,,,,,,,,,,,,
execution_sensitivity,h1,,,,,,,,,,mlp_seq84_h1,baseline,,,,,,,,,,,,6555.0,4.329446767767646,,0.5069412662090008,0.1549205899035734,36.30044273370783,-0.0147294951885461,,,,,base,Reuse the calibrated execution assumptions from the standardized comparison.,0.0015,1.0,17.0,0.0,,,,,,,,,,,,,
