model,num_folds,test_rmse,test_mae,test_r2,num_trades,net_pnl,sharpe_annualized,hit_rate,turnover,long_trades,short_trades,signal_realized_corr,edge_sign_accuracy,max_drawdown,dm_stat_vs_persistence,dm_p_value_vs_persistence,seq_len,horizon
garch_baseline,3,0.0642365606225079,0.0415339941460916,-0.1619294552386694,0,0.0,0.0,0.0,0.0,0,0,0.0685418114357185,0.0,0.0,0.5453068794582521,0.5855424734233625,48,24
mlp_baseline,3,0.0485402308404445,0.0348057076334953,0.3385741838372175,6712,28.43829516618223,56.00931002690419,0.5183253873659118,0.6345244847797316,3959,2753,0.7253561714179971,0.7881406436233611,-0.0660361424469329,-29.796531267295517,0.0,84,24
ar1_per_grid,3,0.0547201335430145,0.0373173840343952,0.1594340746877021,4933,19.16204043526782,39.26366786570304,0.4240827082911007,0.4663452448477973,1068,3865,0.6389258515462304,0.7344415163186702,-0.1566877892139704,-29.302251304148974,0.0,84,24
factor_ar_var,3,0.0547528976073514,0.0375496037576874,0.1584271952109529,5703,19.34400417335243,38.835967857376325,0.3708574434508153,0.5391378332387975,861,4842,0.6199204814400224,0.7324215325267404,-0.1435137056853719,-29.71436792389799,0.0,84,24
persistence,3,0.0644308701157569,0.0416440032422542,-0.165374358309837,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,84,24
garch_baseline,3,0.0644338294960681,0.0416555742993427,-0.1654814475599273,0,0.0,0.0,0.0,0.0,0,0,-0.0340068306733821,0.0,0.0,0.3813762478222088,0.7029240831261947,84,24
mlp_baseline,3,0.0504897311329841,0.0370853208005428,0.2910073651943843,7017,28.665620288729567,55.49488065593068,0.5342739062277326,0.6633579126488939,4555,2462,0.7203382027707862,0.7702721960951974,-0.0698187556765184,-26.54669113494418,0.0,168,24
ar1_per_grid,3,0.0550630874931812,0.0375200361013412,0.1567493763759447,4937,19.46701956261328,39.38913328817857,0.4294105732226048,0.4667233881641142,1129,3808,0.6389813538329321,0.7364796435082034,-0.1566877892139526,-29.25400383549051,0.0,168,24
factor_ar_var,3,0.0551069758508561,0.0377514955116483,0.1554045466761588,5713,19.776790267996223,39.26390422747028,0.3740591633117451,0.5400831915295897,924,4789,0.6196040432038521,0.735165412217749,-0.1435137056853719,-29.793549223438163,0.0,168,24
persistence,3,0.0648780316114425,0.041912667453289,-0.170660474098711,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,168,24
garch_baseline,3,0.0648833930739267,0.0419383030844101,-0.1708538503958663,0,0.0,0.0,0.0,0.0,0,0,-0.0110306793723606,0.0,0.0,0.6953762903153654,0.4868195151558916,168,24
